Title,Date,City,Location,Category,Source,Link
City Access NY presents: Beeping Egg Hunt,"Thu, Apr 2","New York City, NY","Snug Harbor Cultural Center and Botanical Garden, New York",Other,Allevents,https://allevents.in/new-york/city-access-ny-presents-beeping-egg-hunt/200029793724218
"Elsewhere Presents: Pearly Drops, Teather @ Market Hotel","Thu, Apr 2","New York City, NY","Market Hotel, Brooklyn",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/elsewhere-presents-pearly-drops-teather-market-hotel-tickets-1632026869299
Thursday Silent Book Club,"Thu, Apr 2","Cambridge, MA","The Purple Couch Bookshop, North Andover",Culture & Learning,Eventbrite,https://www.eventbrite.com/e/thursday-silent-book-club-tickets-1979622537299
Sip & Sculpt Pottery Workshop,"Thu, Apr 2","Boston, MA","Dorchester Brewing Company, Boston",Wellness,Eventbrite,https://www.eventbrite.com/e/sip-sculpt-pottery-workshop-tickets-1984490115356
Trivia Night,"Thu, Apr 2","Cambridge, MA","CambridgeSide, Cambridge",Other,Eventbrite,https://www.eventbrite.com/e/trivia-night-tickets-1978647903142
The Best of Boston - Food Tours by Cozymeal™,"Thu, Apr 2","Boston, MA","Location provided after booking, Boston",Food & Drink,Eventbrite,https://www.eventbrite.com/e/the-best-of-boston-food-tours-by-cozymealtm-tickets-1979550057510
Taste Iconic Boston Eats - Food Tours by Cozymeal™,"Thu, Apr 2","Boston, MA","Location provided after booking, Boston",Food & Drink,Eventbrite,https://www.eventbrite.com/e/taste-iconic-boston-eats-food-tours-by-cozymealtm-tickets-1979550426614
Cocktail & Cheese Tasting,"Thu, Apr 2","Boston, MA","Trillium Fort Point, Boston",Food & Drink,Eventbrite,https://www.eventbrite.com/e/cocktail-cheese-tasting-tickets-1983081354715
Foodies + New Friends: Cambridge Entrepreneurs | 2026 Dinner Club,"Thu, Apr 2","Cambridge, MA","Restaurant of the Week, Cambridge",Food & Drink,Eventbrite,https://www.eventbrite.com/e/foodies-new-friends-cambridge-entrepreneurs-2026-dinner-club-tickets-1979934135297
Popping & Animation Dance Class,"Thu, Apr 2","Pittsburgh, PA","Level Up Studios, Pittsburgh",Other,Eventbrite,https://www.eventbrite.com/e/popping-animation-dance-class-tickets-1362405313969
Basic Adult Hip Hop Dance Class,"Thu, Apr 2","Pittsburgh, PA","Level Up Studios, Pittsburgh",Other,Eventbrite,https://www.eventbrite.com/e/basic-adult-hip-hop-dance-class-tickets-1362393207759
Pittsburgh’s Culinary Classics - Food Tour in Pittsburgh | Cozymeal™,"Thu, Apr 2","Pittsburgh, PA","Location provided after booking, Pittsburgh",Food & Drink,Eventbrite,https://www.eventbrite.com/e/pittsburghs-culinary-classics-food-tour-in-pittsburgh-cozymealtm-tickets-1979551040450
Pittsburgh’s Pours and Bites - Food Tour in Pittsburgh | Cozymeal™,"Thu, Apr 2","Pittsburgh, PA","Location provided after booking, Pittsburgh",Food & Drink,Eventbrite,https://www.eventbrite.com/e/pittsburghs-pours-and-bites-food-tour-in-pittsburgh-cozymealtm-tickets-1979551074552
Culinary Favorites From Pittsburgh - Food Tour in Pittsburgh | Cozymeal™,"Thu, Apr 2","Pittsburgh, PA","Location provided after booking, Pittsburgh",Food & Drink,Eventbrite,https://www.eventbrite.com/e/culinary-favorites-from-pittsburgh-food-tour-in-pittsburgh-cozymealtm-tickets-1979551141753
Single Awareness Dinner Monthly: Pittsburgh | Foodies + New Friends,"Thu, Apr 2","Pittsburgh, PA","Restaurant of the Month, Pittsburgh",Food & Drink,Eventbrite,https://www.eventbrite.com/e/single-awareness-dinner-monthly-pittsburgh-foodies-new-friends-tickets-1982896046453
One-time Pottery Class - Bowery,"Thu, Apr 2","New York City, NY","136 Bowery, New York",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/one-time-pottery-class-bowery-tickets-1980979865103
Love and Clay: Couple's Pottery Class - Bowery,"Thu, Apr 2","New York City, NY","136 Bowery, New York",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/love-and-clay-couples-pottery-class-bowery-tickets-1980980710632
Private Party with Pottery Class - Bowery,"Thu, Apr 2","New York City, NY","136 Bowery, New York",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/private-party-with-pottery-class-bowery-tickets-1980987274264
Kids Salsa Dance Classes,"Thu, Apr 2","Hoboken, NJ","Center for Modern Dance Education, Hackensack",Other,Eventbrite,https://www.eventbrite.com/e/kids-salsa-dance-classes-tickets-1981023820575
Introduction to Wine 101 | A Guided Wine Tasting,"Thu, Apr 2","New York City, NY","54 Eldridge St, New York",Food & Drink,Eventbrite,https://www.eventbrite.com/e/introduction-to-wine-101-a-guided-wine-tasting-tickets-1983265565695
Free Wine Tasting,"Thu, Apr 2","Hoboken, NJ","BBB Liquors, Bayonne",Food & Drink,Eventbrite,https://www.eventbrite.com/e/free-wine-tasting-tickets-1983882169975
Landmarks of Manhattan - Food Tours by Cozymeal™,"Thu, Apr 2","New York City, NY","Location provided after booking, New York",Food & Drink,Eventbrite,https://www.eventbrite.com/e/landmarks-of-manhattan-food-tours-by-cozymealtm-tickets-1979549876970
Culinary Voyage Through Spain - Cooking Class in NYC | Cozymeal™,"Thu, Apr 2","New York City, NY","Location provided after booking, New York",Wellness,Eventbrite,https://www.eventbrite.com/e/culinary-voyage-through-spain-cooking-class-in-nyc-cozymealtm-tickets-1983568228969
Restaurant of the Week: Oyster Bay | Foodies + New Friends,"Thu, Apr 2","Hoboken, NJ","Restaurant of the Week, Oyster Bay",Food & Drink,Eventbrite,https://www.eventbrite.com/e/restaurant-of-the-week-oyster-bay-foodies-new-friends-tickets-1977219841772
March Comedy Madness - A Stand Up Comedy Competition!,"Thu, Apr 2","New York City, NY","The Grisly Pear - Midtown, New York",Music & Entertainment,Eventbrite,https://www.eventbrite.com/e/march-comedy-madness-a-stand-up-comedy-competition-tickets-1983934932790
